학교명,설립구분,지역,평균등록금
서울대학교,국립,서울특별시,5000000
연세대학교,사립,서울특별시,9000000
고려대학교,사립,서울특별시,8600000
성균관대학교,사립,서울특별시,8400000
한양대학교,사립,서울특별시,8200000
부산대학교,국립,부산광역시,4400000
경북대학교,국립,대구광역시,4300000
가천대학교,사립,경기도,8100000
단국대학교,사립,경기도,8000000
제주대학교,국립,제주특별자치도,3800000
강원대학교,국립,강원특별자치도,4000000
충남대학교,국립,대전광역시,4200000
전북대학교,국립,전라북도,4100000
조선대학교,사립,광주광역시,7000000
동아대학교,사립,부산광역시,6800000
부경대학교,국립,부산광역시,4000000
울산대학교,사립,울산광역시,7300000
세종대학교,사립,서울특별시,7800000
국민대학교,사립,서울특별시,7900000
숭실대학교,사립,서울특별시,7900000
아주대학교,사립,경기도,8200000
인하대학교,사립,인천광역시,8100000
창원대학교,국립,경상남도,3900000
순천향대학교,사립,충청남도,7500000
한림대학교,사립,강원도,7400000
명지대학교,사립,서울특별시,7900000
상명대학교,사립,서울특별시,7800000
인제대학교,사립,경상남도,7100000
광주과학기술원,특별법인,광u주광역시,6500000
한국과학기술원,특별법인,대전광역시,6800000
